p	N	S	T
8	22	5244.4214876033	0.0020122000
8	47	5248.7777274785	0.0018901000
8	100	5249.7300000000	0.0018979000
8	220	5249.9442148760	0.0019094000
8	470	5249.9877772748	0.0018078000
8	1000	5249.9973000000	0.0018167000
8	2200	5249.9994421488	0.0017596000
8	4700	5249.9998777727	0.0016926000
8	10000	5249.9999730000	0.0017538000
8	22000	5249.9999944215	0.0015845000
8	47000	5249.9999987777	0.0016775000
8	100000	5249.9999997300	0.0018882000
8	220000	5249.9999999442	0.0019876000
8	470000	5249.9999999878	0.0017736000
8	1000000	5249.9999999973	0.0020172001
8	2200000	5249.9999999995	0.0025040000
8	4700000	5250.0000000000	0.0034571000
8	10000000	5250.0000000001	0.0055318000
8	22000000	5250.0000000000	0.0100904000
8	47000000	5249.9999999998	0.0186155000
8	100000000	5249.9999999998	0.0365973000
8	220000000	5250.0000000006	0.0773085000
8	470000000	5249.9999999995	0.1678700000
8	1000000000	5249.9999999995	0.3462704000
8	2200000000	5249.9999999982	0.7431027000
8	4700000000	5249.9999999957	1.6270359000
8	10000000000	5249.9999999872	3.3704316000
9	1	2550.0000000000	0.0016371000
9	2	4575.0000000000	0.0019993000
9	4	5081.2500000000	0.0019549000
9	7	5194.8979591837	0.0019663000
9	10	5223.0000000000	0.0021139000
9	22	5244.4214876033	0.0019067000
9	47	5248.7777274785	0.0016930000
9	100	5249.7300000000	0.0018810000
9	220	5249.9442148760	0.0018435000
9	470	5249.9877772748	0.0018258000
9	1000	5249.9973000000	0.0017491000
9	2200	5249.9994421488	0.0018646000
9	4700	5249.9998777727	0.0019009000
9	10000	5249.9999730000	0.0018103000
9	22000	5249.9999944215	0.0019572000
9	47000	5249.9999987777	0.0018884000
9	100000	5249.9999997300	0.0019103000
9	220000	5249.9999999442	0.0021995000
9	470000	5249.9999999878	0.0018711000
9	1000000	5249.9999999973	0.0023708000
9	2200000	5249.9999999994	0.0028988000
9	4700000	5250.0000000000	0.0035736000
9	10000000	5250.0000000001	0.0057094001
9	22000000	5249.9999999999	0.0090439000
9	47000000	5250.0000000000	0.0181205000
9	100000000	5250.0000000000	0.0345638000
9	220000000	5250.0000000004	0.0721364000
9	470000000	5250.0000000007	0.1509601000
9	1000000000	5250.0000000033	0.3117598000
9	2200000000	5250.0000000080	0.6898259000
9	4700000000	5250.0000000198	1.4500339000
9	10000000000	5250.0000000359	3.2256934000
10	1	2550.0000000000	0.0022340000
10	2	4575.0000000000	0.0021446000
10	4	5081.2500000000	0.0019366000
10	7	5194.8979591837	0.0026079000
10	10	5223.0000000000	0.0119728000
10	22	5244.4214876033	0.0021957000
10	47	5248.7777274785	0.0021927000
10	100	5249.7300000000	0.0020124000
10	220	5249.9442148760	0.0022580000
10	470	5249.9877772748	0.0020610000
10	1000	5249.9973000000	0.0021766000
10	2200	5249.9994421488	0.0020363000
10	4700	5249.9998777727	0.0020132000
10	10000	5249.9999730000	0.0021901000
10	22000	5249.9999944215	0.0021962000
10	47000	5249.9999987777	0.0021196000
10	100000	5249.9999997300	0.0021000000
10	220000	5249.9999999442	0.0025079000
10	470000	5249.9999999878	0.0019850000
10	1000000	5249.9999999973	0.0027253000
10	2200000	5249.9999999994	0.0036462000
10	4700000	5250.0000000000	0.0045582000
10	10000000	5250.0000000001	0.0073863000
10	22000000	5250.0000000000	0.0101696000
10	47000000	5249.9999999999	0.0172066000
10	100000000	5249.9999999997	0.0315616000
10	220000000	5250.0000000001	0.0670621000
10	470000000	5249.9999999996	0.1404352000
10	1000000000	5250.0000000003	0.3039114000
10	2200000000	5250.0000000001	0.6905552000
10	4700000000	5249.9999999969	1.4101338000
10	10000000000	5249.9999999945	2.9106470000
11	1	2550.0000000000	0.0022749000
11	2	4575.0000000000	0.0023857000
11	4	5081.2500000000	0.0026369000
11	7	5194.8979591837	0.0021190000
11	10	5223.0000000000	0.0024584000
11	22	5244.4214876033	0.0026067000
11	47	5248.7777274785	0.0021326000
11	100	5249.7300000000	0.0025860000
11	220	5249.9442148760	0.0022385000
11	470	5249.9877772748	0.0022855000
11	1000	5249.9973000000	0.0023213000
11	2200	5249.9994421488	0.0021216000
11	4700	5249.9998777727	0.0025164000
11	10000	5249.9999730000	0.0020822000
11	22000	5249.9999944215	0.0022021000
11	47000	5249.9999987777	0.0023907000
11	100000	5249.9999997300	0.0022617000
11	220000	5249.9999999442	0.0021895000
11	470000	5249.9999999878	0.0025010000
11	1000000	5249.9999999973	0.0027303000
11	2200000	5249.9999999994	0.0027499000
11	4700000	5249.9999999999	0.0047299000
11	10000000	5250.0000000001	0.0059957000
11	22000000	5250.0000000000	0.0114548000
11	47000000	5249.9999999999	0.0194042000
11	100000000	5249.9999999997	0.0350777000
11	220000000	5250.0000000000	0.0776715000
11	470000000	5249.9999999998	0.1544472000
11	1000000000	5250.0000000000	0.3151674000
11	2200000000	5249.9999999993	0.7009362000
11	4700000000	5249.9999999946	1.3793990000
11	10000000000	5249.9999999771	2.8860445000
12	1	2550.0000000000	0.0020462000
12	2	4575.0000000000	0.0024651000
12	4	5081.2500000000	0.0022770000
12	7	5194.8979591837	0.0023760000
12	10	5223.0000000000	0.0024630000
12	22	5244.4214876033	0.0023101000
12	47	5248.7777274785	0.0029266000
12	100	5249.7300000000	0.0022526000
12	220	5249.9442148760	0.0023494000
12	470	5249.9877772748	0.0024726000
12	1000	5249.9973000000	0.0024373000
12	2200	5249.9994421488	0.0025083000
12	4700	5249.9998777727	0.0024642000
12	10000	5249.9999730000	0.0025691000
12	22000	5249.9999944215	0.0024031000
12	47000	5249.9999987777	0.0025929000
12	100000	5249.9999997300	0.0023928000
12	220000	5249.9999999442	0.0023790000
12	470000	5249.9999999878	0.0024894000
12	1000000	5249.9999999973	0.0027845000
12	2200000	5249.9999999995	0.0033818000
12	4700000	5250.0000000000	0.0044491000
12	10000000	5250.0000000001	0.0070270000
12	22000000	5250.0000000001	0.0120745000
12	47000000	5249.9999999999	0.0200774000
12	100000000	5249.9999999999	0.0454714000
12	220000000	5250.0000000008	0.0793868000
12	470000000	5250.0000000014	0.1555174000
12	1000000000	5250.0000000031	0.3091227000
12	2200000000	5250.0000000079	0.6739393000
12	4700000000	5250.0000000198	1.3488610000
12	10000000000	5250.0000000487	2.9366227000
1	1	2550.0000000000	0.0000043000
1	2	4575.0000000000	0.0000033000
1	4	5081.2500000000	0.0000035000
1	7	5194.8979591837	0.0000035000
1	10	5223.0000000000	0.0000034000
1	22	5244.4214876033	0.0000035000
1	47	5248.7777274785	0.0000039000
1	100	5249.7300000000	0.0000042000
1	220	5249.9442148760	0.0000071000
1	470	5249.9877772748	0.0000053000
1	1000	5249.9973000000	0.0000056000
1	2200	5249.9994421488	0.0000077000
1	4700	5249.9998777728	0.0000129000
1	10000	5249.9999730000	0.0000235000
1	22000	5249.9999944215	0.0000474000
1	47000	5249.9999987777	0.0001062000
1	100000	5249.9999997299	0.0002044000
1	220000	5249.9999999442	0.0004497000
1	470000	5249.9999999877	0.0009479000
1	1000000	5249.9999999975	0.0020826000
1	2200000	5249.9999999997	0.0044454000
1	4700000	5249.9999999993	0.0096118000
1	10000000	5250.0000000004	0.0201895999
1	22000000	5250.0000000003	0.0446298000
1	47000000	5250.0000000014	0.0968709000
1	100000000	5249.9999999997	0.2044369000
1	220000000	5249.9999999990	0.4481415000
1	470000000	5249.9999999987	0.9535621000
1	1000000000	5249.9999999958	2.0355270000
1	2200000000	5249.9999999861	4.4750157000
1	4700000000	5249.9999999630	9.5503916000
1	10000000000	5249.9999998957	20.2794350000
2	1	2550.0000000000	0.0004241000
2	2	4575.0000000000	0.0003357000
2	4	5081.2500000000	0.0008124000
2	7	5194.8979591837	0.0004565000
2	10	5223.0000000000	0.0004140000
2	22	5244.4214876033	0.0003628000
2	47	5248.7777274785	0.0003334000
2	100	5249.7300000000	0.0004197001
2	220	5249.9442148760	0.0006840000
2	470	5249.9877772748	0.0004238000
2	1000	5249.9973000000	0.0004210000
2	2200	5249.9994421488	0.0003290000
2	4700	5249.9998777728	0.0004344000
2	10000	5249.9999730000	0.0003499000
2	22000	5249.9999944215	0.0006127000
2	47000	5249.9999987777	0.0004711000
2	100000	5249.9999997300	0.0010032000
2	220000	5249.9999999441	0.0006535000
2	470000	5249.9999999877	0.0008900000
2	1000000	5249.9999999974	0.0015223000
2	2200000	5249.9999999995	0.0027400000
2	4700000	5249.9999999997	0.0052702000
2	10000000	5250.0000000000	0.0105585000
2	22000000	5250.0000000002	0.0227109000
2	47000000	5250.0000000007	0.0533984000
2	100000000	5249.9999999998	0.1009942000
2	220000000	5249.9999999993	0.2326520000
2	470000000	5249.9999999983	0.4987657000
2	1000000000	5249.9999999953	1.0334810000
2	2200000000	5249.9999999869	2.3506082000
2	4700000000	5249.9999999627	4.9474357000
2	10000000000	5249.9999998949	10.5350482000
3	1	2550.0000000000	0.0009609000
3	2	4575.0000000000	0.0007422000
3	4	5081.2500000000	0.0006368000
3	7	5194.8979591837	0.0006882000
3	10	5223.0000000000	0.0006552000
3	22	5244.4214876033	0.0005630000
3	47	5248.7777274785	0.0006045000
3	100	5249.7300000000	0.0006649000
3	220	5249.9442148760	0.0006201000
3	470	5249.9877772748	0.0006912000
3	1000	5249.9973000000	0.0006635000
3	2200	5249.9994421488	0.0005944000
3	4700	5249.9998777728	0.0007071000
3	10000	5249.9999730000	0.0005491000
3	22000	5249.9999944215	0.0005910000
3	47000	5249.9999987777	0.0006726000
3	100000	5249.9999997300	0.0006411000
3	220000	5249.9999999441	0.0007745000
3	470000	5249.9999999877	0.0010717000
3	1000000	5249.9999999973	0.0014058000
3	2200000	5249.9999999994	0.0024966000
3	4700000	5249.9999999997	0.0038925000
3	10000000	5249.9999999999	0.0072070000
3	22000000	5249.9999999999	0.0192307000
3	47000000	5250.0000000010	0.0361739000
3	100000000	5250.0000000020	0.0698712000
3	220000000	5250.0000000032	0.1548697000
3	470000000	5250.0000000060	0.3483719000
3	1000000000	5250.0000000198	0.7139269000
3	2200000000	5250.0000000488	1.5995329000
3	4700000000	5250.0000001205	3.3728743000
3	10000000000	5250.0000002980	7.1855683000
4	1	2550.0000000000	0.0006717000
4	2	4575.0000000000	0.0008449000
4	4	5081.2500000000	0.0009254999
4	7	5194.8979591837	0.0008052000
4	10	5223.0000000000	0.0008042000
4	22	5244.4214876033	0.0013438000
4	47	5248.7777274785	0.0008030000
4	100	5249.7300000000	0.0009466000
4	220	5249.9442148760	0.0008361000
4	470	5249.9877772748	0.0010349000
4	1000	5249.9973000000	0.0008165000
4	2200	5249.9994421488	0.0007966000
4	4700	5249.9998777727	0.0008196000
4	10000	5249.9999730000	0.0007727000
4	22000	5249.9999944215	0.0008165000
4	47000	5249.9999987777	0.0007000000
4	100000	5249.9999997300	0.0009668000
4	220000	5249.9999999442	0.0009416000
4	470000	5249.9999999877	0.0011906000
4	1000000	5249.9999999972	0.0013427000
4	2200000	5249.9999999994	0.0024179000
4	4700000	5249.9999999997	0.0041605000
4	10000000	5249.9999999997	0.0085997000
4	22000000	5250.0000000001	0.0145324000
4	47000000	5250.0000000002	0.0318116000
4	100000000	5250.0000000001	0.0596822000
4	220000000	5249.9999999998	0.1292104000
4	470000000	5249.9999999983	0.2780433000
4	1000000000	5249.9999999996	0.5773935000
4	2200000000	5249.9999999984	1.2571419000
4	4700000000	5249.9999999951	2.6806616000
4	10000000000	5249.9999999865	5.6325807000
5	1	2550.0000000000	0.0011677000
5	2	4575.0000000000	0.0011359000
5	4	5081.2500000000	0.0010540000
5	7	5194.8979591837	0.0008134000
5	10	5223.0000000000	0.0006954000
5	22	5244.4214876033	0.0010644000
5	47	5248.7777274785	0.0009827000
5	100	5249.7300000000	0.0010883000
5	220	5249.9442148760	0.0010620000
5	470	5249.9877772748	0.0010538000
5	1000	5249.9973000000	0.0011293000
5	2200	5249.9994421488	0.0010841000
5	4700	5249.9998777727	0.0009791000
5	10000	5249.9999730000	0.0011018000
5	22000	5249.9999944215	0.0018293000
5	47000	5249.9999987777	0.0013461000
5	100000	5249.9999997300	0.0011789000
5	220000	5249.9999999442	0.0013060000
5	470000	5249.9999999878	0.0014313000
5	1000000	5249.9999999973	0.0105894000
5	2200000	5249.9999999994	0.0019839000
5	4700000	5249.9999999997	0.0037660000
5	10000000	5249.9999999998	0.0053270000
5	22000000	5250.0000000001	0.0108245000
5	47000000	5249.9999999999	0.0246519000
5	100000000	5249.9999999989	0.0550403000
5	220000000	5250.0000000004	0.1199683000
5	470000000	5249.9999999986	0.2374374000
5	1000000000	5249.9999999991	0.4761262000
5	2200000000	5249.9999999955	1.0325350000
5	4700000000	5249.9999999866	2.2636073000
5	10000000000	5249.9999999615	4.6998484000
6	1	2550.0000000000	0.0009688000
6	2	4575.0000000000	0.0012254000
6	4	5081.2500000000	0.0012559000
6	7	5194.8979591837	0.0011979000
6	10	5223.0000000000	0.0013345000
6	22	5244.4214876033	0.0015040000
6	47	5248.7777274785	0.0014986000
6	100	5249.7300000000	0.0012612000
6	220	5249.9442148760	0.0012492000
6	470	5249.9877772748	0.0012823000
6	1000	5249.9973000000	0.0015097000
6	2200	5249.9994421488	0.0013986000
6	4700	5249.9998777727	0.0012884000
6	10000	5249.9999730000	0.0014535000
6	22000	5249.9999944215	0.0012522000
6	47000	5249.9999987777	0.0016674000
6	100000	5249.9999997300	0.0014102000
6	220000	5249.9999999442	0.0015191000
6	470000	5249.9999999878	0.0016314000
6	1000000	5249.9999999973	0.0019200000
6	2200000	5249.9999999995	0.0024269000
6	4700000	5249.9999999998	0.0036090000
6	10000000	5249.9999999999	0.0063647000
6	22000000	5250.0000000001	0.0122202000
6	47000000	5249.9999999995	0.0246690999
6	100000000	5249.9999999999	0.0449159000
6	220000000	5250.0000000018	0.1128226000
6	470000000	5250.0000000027	0.2118382000
6	1000000000	5250.0000000081	0.4266772000
6	2200000000	5250.0000000199	0.9326953000
6	4700000000	5250.0000000487	1.9614056000
6	10000000000	5250.0000001203	4.1971056000
7	1	2550.0000000000	0.0013834000
7	2	4575.0000000000	0.0016579000
7	4	5081.2500000000	0.0020295000
7	7	5194.8979591837	0.0018049000
7	10	5223.0000000000	0.0019197000
7	22	5244.4214876033	0.0017582000
7	47	5248.7777274785	0.0016725000
7	100	5249.7300000000	0.0017475000
7	220	5249.9442148760	0.0017556000
7	470	5249.9877772748	0.0013115000
7	1000	5249.9973000000	0.0017821999
7	2200	5249.9994421488	0.0017106000
7	4700	5249.9998777727	0.0017788000
7	10000	5249.9999730000	0.0013912000
7	22000	5249.9999944215	0.0015017000
7	47000	5249.9999987777	0.0014584000
7	100000	5249.9999997300	0.0016181000
7	220000	5249.9999999442	0.0014237000
7	470000	5249.9999999878	0.0019073000
7	1000000	5249.9999999973	0.0016759000
7	2200000	5249.9999999994	0.0024932000
7	4700000	5250.0000000000	0.0035431000
7	10000000	5249.9999999999	0.0058312000
7	22000000	5249.9999999998	0.0111565000
7	47000000	5249.9999999996	0.0200543000
7	100000000	5249.9999999997	0.0413160000
7	220000000	5250.0000000007	0.0858805000
7	470000000	5249.9999999997	0.1834179000
7	1000000000	5250.0000000006	0.3814542000
7	2200000000	5249.9999999997	0.8372893000
7	4700000000	5249.9999999987	1.7538044000
7	10000000000	5249.9999999951	3.7102522000
8	1	2550.0000000000	0.0029132999
8	2	4575.0000000000	0.0015686000
8	4	5081.2500000000	0.0018158000
8	7	5194.8979591837	0.0020306000
8	10	5223.0000000000	0.0016783000
8	22	5244.4214876033	0.0021516000
8	47	5248.7777274785	0.0019480000
8	100	5249.7300000000	0.0016627000
8	220	5249.9442148760	0.0018844000
8	470	5249.9877772748	0.0018886000
8	1000	5249.9973000000	0.0014824001
8	2200	5249.9994421488	0.0018013000
8	4700	5249.9998777727	0.0017922000
8	10000	5249.9999730000	0.0017350000
8	22000	5249.9999944215	0.0022873000
8	47000	5249.9999987777	0.0017783000
8	100000	5249.9999997300	0.0018285000
8	220000	5249.9999999442	0.0018854000
8	470000	5249.9999999878	0.0019282000
8	1000000	5249.9999999973	0.0021892000
8	2200000	5249.9999999995	0.0028314000
8	4700000	5250.0000000000	0.0038658000
8	10000000	5250.0000000001	0.0056828000
8	22000000	5250.0000000000	0.0099381000
8	47000000	5249.9999999998	0.0228028000
8	100000000	5249.9999999998	0.0378455000
8	220000000	5250.0000000006	0.0868451000
8	470000000	5249.9999999995	0.1646420000
8	1000000000	5249.9999999995	0.3637867000
8	2200000000	5249.9999999982	0.7607565999
8	4700000000	5249.9999999957	1.6050183999
8	10000000000	5249.9999999872	3.4063836000
9	1	2550.0000000000	0.0020166000
9	2	4575.0000000000	0.0017315000
9	4	5081.2500000000	0.0025726000
9	7	5194.8979591837	0.0023158000
9	10	5223.0000000000	0.0021258000
9	22	5244.4214876033	0.0021910000
9	47	5248.7777274785	0.0023388000
9	100	5249.7300000000	0.0021265000
9	220	5249.9442148760	0.0022001000
9	470	5249.9877772748	0.0021111000
9	1000	5249.9973000000	0.0025851000
9	2200	5249.9994421488	0.0023792000
9	4700	5249.9998777727	0.0021240000
9	10000	5249.9999730000	0.0025024000
9	22000	5249.9999944215	0.0022635000
9	47000	5249.9999987777	0.0019773000
9	100000	5249.9999997300	0.0024950000
9	220000	5249.9999999442	0.0022383000
9	470000	5249.9999999878	0.0022310000
9	1000000	5249.9999999973	0.0024784000
9	2200000	5249.9999999994	0.0033368000
9	4700000	5250.0000000000	0.0037410000
9	10000000	5250.0000000001	0.0060201000
9	22000000	5249.9999999999	0.0096231000
9	47000000	5250.0000000000	0.0178075000
9	100000000	5250.0000000000	0.0346698000
9	220000000	5250.0000000004	0.0735081000
9	470000000	5250.0000000007	0.1485730000
9	1000000000	5250.0000000033	0.3210208000
9	2200000000	5250.0000000080	0.7476738000
9	4700000000	5250.0000000198	1.4854370000
9	10000000000	5250.0000000359	3.1034800000
10	1	2550.0000000000	0.0016726000
10	2	4575.0000000000	0.0021906000
10	4	5081.2500000000	0.0025591000
10	7	5194.8979591837	0.0024389000
10	10	5223.0000000000	0.0024897000
10	22	5244.4214876033	0.0017196000
10	47	5248.7777274785	0.0023276000
10	100	5249.7300000000	0.0027422000
10	220	5249.9442148760	0.0023459000
10	470	5249.9877772748	0.0022419000
10	1000	5249.9973000000	0.0032323000
10	2200	5249.9994421488	0.0023566000
10	4700	5249.9998777727	0.0023196000
10	10000	5249.9999730000	0.0024634000
10	22000	5249.9999944215	0.0025137000
10	47000	5249.9999987777	0.0028249000
10	100000	5249.9999997300	0.0024966000
10	220000	5249.9999999442	0.0027693000
10	470000	5249.9999999878	0.0024963000
10	1000000	5249.9999999973	0.0025961000
10	2200000	5249.9999999994	0.0032814000
10	4700000	5250.0000000000	0.0044956000
10	10000000	5250.0000000001	0.0066362000
10	22000000	5250.0000000000	0.0098990000
10	47000000	5249.9999999999	0.0180687000
10	100000000	5249.9999999997	0.0363342000
10	220000000	5250.0000000001	0.0824327000
10	470000000	5249.9999999996	0.1480894000
10	1000000000	5250.0000000003	0.2973228000
10	2200000000	5250.0000000001	0.6465951000
10	4700000000	5249.9999999969	1.4045357000
10	10000000000	5249.9999999945	2.9798678000
11	1	2550.0000000000	0.0018657000
11	2	4575.0000000000	0.0023944000
11	4	5081.2500000000	0.0023520000
11	7	5194.8979591837	0.0025435000
11	10	5223.0000000000	0.0024940000
11	22	5244.4214876033	0.0028904999
11	47	5248.7777274785	0.0025180000
11	100	5249.7300000000	0.0024561000
11	220	5249.9442148760	0.0020603000
11	470	5249.9877772748	0.0024095000
11	1000	5249.9973000000	0.0023401000
11	2200	5249.9994421488	0.0024029000
11	4700	5249.9998777727	0.0023734000
11	10000	5249.9999730000	0.0090832000
11	22000	5249.9999944215	0.0027404000
11	47000	5249.9999987777	0.0024067000
11	100000	5249.9999997300	0.0022493000
11	220000	5249.9999999442	0.0024279000
11	470000	5249.9999999878	0.0027747000
11	1000000	5249.9999999973	0.0027285000
11	2200000	5249.9999999994	0.0039644000
11	4700000	5249.9999999999	0.0040015000
11	10000000	5250.0000000001	0.0063497000
11	22000000	5250.0000000000	0.0107122000
11	47000000	5249.9999999999	0.0180533000
11	100000000	5249.9999999997	0.0343065000
11	220000000	5250.0000000000	0.0753206000
11	470000000	5249.9999999998	0.1508092000
11	1000000000	5250.0000000000	0.3142225000
11	2200000000	5249.9999999993	0.6666849000
11	4700000000	5249.9999999946	1.3771895000
11	10000000000	5249.9999999771	3.0663196000
12	1	2550.0000000000	0.0023522000
12	2	4575.0000000000	0.0024067000
12	4	5081.2500000000	0.0023650000
12	7	5194.8979591837	0.0027723000
12	10	5223.0000000000	0.0032098000
12	22	5244.4214876033	0.0028577000
12	47	5248.7777274785	0.0025659000
12	100	5249.7300000000	0.0026178000
12	220	5249.9442148760	0.0026209000
12	470	5249.9877772748	0.0026401000
12	1000	5249.9973000000	0.0027363000
12	2200	5249.9994421488	0.0022827000
12	4700	5249.9998777727	0.0023109000
12	10000	5249.9999730000	0.0024982000
12	22000	5249.9999944215	0.0027466000
12	47000	5249.9999987777	0.0026941000
12	100000	5249.9999997300	0.0026538000
12	220000	5249.9999999442	0.0026183000
12	470000	5249.9999999878	0.0025830000
12	1000000	5249.9999999973	0.0032344000
12	2200000	5249.9999999995	0.0032339000
12	4700000	5250.0000000000	0.0045204000
12	10000000	5250.0000000001	0.0068914000
12	22000000	5250.0000000001	0.0115711000
12	47000000	5249.9999999999	0.0218590000
12	100000000	5249.9999999999	0.0461319000
12	220000000	5250.0000000008	0.0779417000
12	470000000	5250.0000000014	0.1432994000
12	1000000000	5250.0000000031	0.3235530000
12	2200000000	5250.0000000079	0.6756511000
12	4700000000	5250.0000000198	1.3949802000
12	10000000000	5250.0000000487	2.9307164000
