p	N	S	T
8	10	5223.0000000000	0.0025093000
8	22	5244.4214876033	0.0021488000
8	47	5248.7777274785	0.0018307000
8	100	5249.7300000000	0.0018271000
8	220	5249.9442148760	0.0018426000
8	470	5249.9877772748	0.0021783000
8	1000	5249.9973000000	0.0021913000
8	2200	5249.9994421488	0.0022453000
8	4700	5249.9998777727	0.0026396000
8	10000	5249.9999730000	0.0020430000
8	22000	5249.9999944215	0.0021410000
8	47000	5249.9999987777	0.0018944000
8	100000	5249.9999997300	0.0022287000
8	220000	5249.9999999442	0.0019010000
8	470000	5249.9999999878	0.0025593000
8	1000000	5249.9999999973	0.0024261000
8	2200000	5249.9999999995	0.0028608000
8	4700000	5250.0000000000	0.0032970000
8	10000000	5250.0000000001	0.0077752000
8	22000000	5250.0000000000	0.0115402000
8	47000000	5249.9999999998	0.0207718000
8	100000000	5249.9999999998	0.0373692000
8	220000000	5250.0000000006	0.0800745000
8	470000000	5249.9999999995	0.1671136000
8	1000000000	5249.9999999995	0.3926578000
8	2200000000	5249.9999999982	0.8041204000
8	4700000000	5249.9999999957	1.6181583000
8	10000000000	5249.9999999872	3.3599891000
9	1	2550.0000000000	0.0018165000
9	2	4575.0000000000	0.0019075000
9	4	5081.2500000000	0.0020310000
9	7	5194.8979591837	0.0017423000
9	10	5223.0000000000	0.0019686000
9	22	5244.4214876033	0.0017939000
9	47	5248.7777274785	0.0020634000
9	100	5249.7300000000	0.0024480000
9	220	5249.9442148760	0.0019425999
9	470	5249.9877772748	0.0018111000
9	1000	5249.9973000000	0.0018706000
9	2200	5249.9994421488	0.0016920000
9	4700	5249.9998777727	0.0019194000
9	10000	5249.9999730000	0.0018196000
9	22000	5249.9999944215	0.0021619000
9	47000	5249.9999987777	0.0023671000
9	100000	5249.9999997300	0.0019561000
9	220000	5249.9999999442	0.0021481999
9	470000	5249.9999999878	0.0021547000
9	1000000	5249.9999999973	0.0021089001
9	2200000	5249.9999999994	0.0026079000
9	4700000	5250.0000000000	0.0034677000
9	10000000	5250.0000000001	0.0053467000
9	22000000	5249.9999999999	0.0093701000
9	47000000	5250.0000000000	0.0167192000
9	100000000	5250.0000000000	0.0347241000
9	220000000	5250.0000000004	0.0717963999
9	470000000	5250.0000000007	0.1522068000
9	1000000000	5250.0000000033	0.3188046000
9	2200000000	5250.0000000080	0.7404474000
9	4700000000	5250.0000000198	1.5534505000
9	10000000000	5250.0000000359	3.0969252000
10	1	2550.0000000000	0.0018030001
10	2	4575.0000000000	0.0018831000
10	4	5081.2500000000	0.0021631000
10	7	5194.8979591837	0.0020274000
10	10	5223.0000000000	0.0019196000
10	22	5244.4214876033	0.0019593000
10	47	5248.7777274785	0.0021139000
10	100	5249.7300000000	0.0015439000
10	220	5249.9442148760	0.0021128000
10	470	5249.9877772748	0.0020113000
10	1000	5249.9973000000	0.0020401000
10	2200	5249.9994421488	0.0021417000
10	4700	5249.9998777727	0.0019814000
10	10000	5249.9999730000	0.0023444000
10	22000	5249.9999944215	0.0020720000
10	47000	5249.9999987777	0.0020117000
10	100000	5249.9999997300	0.0021940000
10	220000	5249.9999999442	0.0020545000
10	470000	5249.9999999878	0.0023514000
10	1000000	5249.9999999973	0.0027609000
10	2200000	5249.9999999994	0.0032748000
10	4700000	5250.0000000000	0.0043251000
10	10000000	5250.0000000001	0.0070797000
10	22000000	5250.0000000000	0.0107119000
10	47000000	5249.9999999999	0.0165825000
10	100000000	5249.9999999997	0.0329021000
10	220000000	5250.0000000001	0.0681859000
10	470000000	5249.9999999996	0.1414239000
10	1000000000	5250.0000000003	0.3014555000
10	2200000000	5250.0000000001	0.6544129000
10	4700000000	5249.9999999969	1.4298102000
10	10000000000	5249.9999999945	2.9229501000
11	1	2550.0000000000	0.0016753000
11	2	4575.0000000000	0.0025044000
11	4	5081.2500000000	0.0024058000
11	7	5194.8979591837	0.0023714000
11	10	5223.0000000000	0.0028387000
11	22	5244.4214876033	0.0021165000
11	47	5248.7777274785	0.0022639000
11	100	5249.7300000000	0.0024806000
11	220	5249.9442148760	0.0020777000
11	470	5249.9877772748	0.0022529000
11	1000	5249.9973000000	0.0022612000
11	2200	5249.9994421488	0.0021137000
11	4700	5249.9998777727	0.0023893000
11	10000	5249.9999730000	0.0023692000
11	22000	5249.9999944215	0.0025757000
11	47000	5249.9999987777	0.0023681000
